english,portuguese
That's all we do.,É tudo o que fazemos.
Perhaps it was worth it.,Talvez tenha valido a pena.
I need to ask a few questions.,Preciso fazer umas perguntas.
This is my friend.,É meu amigo.
He made a robot.,Ele fez um robô.
Why did it happen?,Por que isso aconteceu?
You've caught the thief.,Você pegou o ladrão.
The bridge is under construction.,A ponte está em construção.
"You're not depressed, are you?","Você não está deprimido, está?"
This is not important.,Isto não é importante.
It's thirty degrees below zero.,Está trinta graus abaixo de zero.
She had twins.,Ela teve gêmeos.
That sounds fascinating.,Isso me parece fascinante.
The printer's run out of ink.,A impressora ficou sem tinta.
I took a shower.,Eu tomei banho.
I'd like for you to leave.,Eu gostaria que você fosse embora.
I don't need you.,Eu não preciso de você.
Tom explained the purpose of the project to Mary.,Tom explicou o propósito do projeto para Mary.
What makes you think Tom likes you?,O que faz você pensar que Tom gosta de você?
I will keep nothing back from you.,Eu não vou esconder nada de ti.
I wish we could spend more time together.,Eu queria que pudéssemos passar mais tempo juntos.
Tom will come with me.,Tom virá comigo.
I like to learn new things.,Eu gosto de aprender coisas novas.
Yesterday Tom went to Mary's house.,Ontem Tom foi à casa de Mary.
It was terrifying.,Foi assustador.
I wonder if Tom is still curious.,Me pergunto se o Tom ainda está curioso.
Tom wasn't out late last night.,Tom não saiu tarde ontem à noite.
Did you remember to bring your notebook today?,Você se lembrou de trazer seu caderno hoje?
I was in the front seat.,Eu estava no banco da frente.
Have you ever eaten turkey?,Você já comeu peru?
The whole ship was quarantined.,O navio inteiro entrou em quarentena.
You're unlucky.,Vocês são azarados.
Tom will visit Mary on Monday.,O Tom vai visitar a Mary na segunda.
Why did you fight?,Por que vocês brigaram?
Are you home?,Você está em casa?
I hate computers.,Detesto computadores.
The peace treaty will be signed tomorrow.,O acordo de paz irá ser assinado amanhã.
What time does Tom eat breakfast?,A que horas o Tom toma o café da manhã?
We can't open this envelope until Tom gets here.,Não podemos abrir esse envelope até que o Tom chegue.
Tom woke me up.,Tom me acordou.
We know how to swim.,Nós sabemos nadar.
Tom is doing OK.,Tom está bem.
Thanks for your input.,Obrigado pela sua contribuição.
Tom owns a very valuable piece of property.,Tom possui uma parte da propriedade muito valiosa.
I'm old-fashioned.,Sou antiquado.
People can be really predictable.,As pessoas podem ser mesmo previsíveis.
I'll change the sheets.,Eu vou trocar os lençóis.
Why can't we do it now?,Por que não podemos fazer isso agora?
Does anybody here know Tom's phone number?,Alguém aqui sabe o número de telefone de Tom?
I told you Tom didn't win.,Te disse que Tom não venceu.
I must go right away.,Agora tenho de ir.
Have you ever argued with your parents?,Você já discutiu com seus pais?
I'd better get back to my desk.,É melhor que eu volte para a minha mesa.
What kind of work is Tom doing nowadays?,Que tipo de trabalho o Tom está fazendo atualmente?
Has he gone already?,Ele já foi embora?
I appreciate your point of view.,Aprecio seu ponto de vista.
Why would you want to buy something like that?,Por que você quer comprar algo assim?
The difference between Earth and the other planets is that Earth has water.,A diferença entre a Terra e os outros planetas é que a Terra tem água.
Tom told Mary he was going to try to do that.,Tom disse a Mary que ia tentar fazer isso.
Tom asked Mary to open the door.,Tom pediu que Mary abrisse a porta.
Tom is early.,O Tom está adiantado.
Tom says he was born in Boston.,Tom diz que nasceu em Boston.
What do you think I'm trying to do?,O que você acha que eu estou tentando fazer?
Do you know his name?,Você sabe o nome dele?
The house had a stone wall around it.,A casa tinha um muro de pedra em volta dela.
They believe me.,Eles acreditam em mim.
Why do you want to go out with me?,Por que você quer sair comigo?
We're mature.,Nós estamos maduros.
It won't be hard for you to do that.,Não será difícil para você fazer isso.
We've already talked about that.,Nós já conversamos sobre isto.
I don't want to break up with you.,Eu não quero romper com você.
Don't go there if you don't want to.,"Se não quiser ir lá, não vá."
What are we going to do with that?,O que nós vamos fazer com isso?
There are many stars larger than our sun.,Há muitas estrelas maiores que o nosso Sol.
Tom is easygoing.,Tom é descontraído.
Do you know where I put my wallet?,Você sabe onde coloco minha carteira?
The beach is empty.,A praia está vazia.
Paper napkins are sold in packs of ten.,Os guardanapos de papel são vendidos em pacotes de dez.
I got injured in the traffic accident.,Me feri no acidente de trânsito.
They're with me.,Eles estão comigo.
You were busy last week.,Você estava ocupado na semana passada.
I was able to knit.,Eu sabia tricotar.
I think I know the answer.,Acho que sei a resposta.
It's simple to use.,É fácil de usar.
How did you get your nickname?,Como arrumou seu apelido?
Do what is right.,Faça o que é certo.
Tom began to pray.,Tom começou a rezar
Be watchful.,Fique atento.
When did you move to Boston?,Quando vocês se mudaram para Boston?
Tom borrowed money from Mary's father.,Tom pegou dinheiro emprestado do pai da Mary.
I work at a gas station.,Eu trabalho em um posto de gasolina.
You look sober.,Você parece sóbria.
Tom has a strange way of talking.,Tom fala de um jeito estranho.
Why are you treating me like a kid?,Por que você está me tratando como uma criança?
Tom didn't want to go back Boston.,Tom não queria voltar para Boston.
I think he's right.,Acho que ele tem razão.
He will play tennis with his friends.,Ele irá jogar ténis com os seus amigos.
Illegal logging has decreased considerably.,A extração ilegal da madeira tem diminuído consideravelmente.
Tom went back to his hotel.,Tom voltou ao hotel em que estava hospedado.
They're cool.,Elas são legais.
Whose turn is it next?,De quem é a vez?
Who did you visit in Australia?,Quem você visitou na Austrália?
We men are used to waiting for the women.,Nós homens somos acostumados a esperar pelas mulheres.
Tell me how Tom and Mary met.,Me conte como Tom e Maria se conheceram.
I'm going to drive Tom home.,Eu vou levar o Tom para casa.
Tom got up late.,Tom levantou tarde.
I'm a salesman.,Sou vendedor.
I didn't hear the door open.,Não ouvi a porta abrir.
I bet I get there before you.,Eu aposto que chego lá antes de você.
Which is your book?,Qual é o seu livro?
I'm just resting my eyes.,Eu só estou descansando os meus olhos.
You're sad.,Vocês estão tristes.
Tom almost never uses his phone.,Tom quase nunca usa seu celular.
We're on vacation.,Nós estamos de férias.
Do you still love Tom?,Você ainda ama o Tom?
Nobody will help you.,Ninguém vai te ajudar.
Why did Tom kiss me?,Por que Tom me beijou?
It rained hard yesterday morning.,Choveu forte ontem de manhã.
Have you seen my pen?,Você viu a minha caneta?
"If you had a time machine, which year would you visit?","Se você tivesse uma máquina do tempo, que ano você visitaria?"
I've been riding horses since I was a kid.,Eu andava a cavalo quando era criança.
Tom and Mary like to play badminton.,O Tom e a Mary gostam de jogar badminton.
You're my reason for living.,A razão da minha vida é você.
I won't do it.,Não irei fazer isso.
We aren't going to lose.,Nós não vamos perder.
He is certain to come.,Com certeza ele vem.
They will get married next month.,Eles se casarão próximo mês.
I'll be in Australia until October twentieth.,Ficarei na Austrália até o dia 20 de outubro.
There is a radio on the table.,Há um rádio na mesa.
I couldn't tell Tom everything.,Eu não podia contar tudo para o Tom.
What can Tom do that Mary can't?,O que o Tom pode fazer que a Mary não possa?
This list is incomplete.,Esta lista está incompleta.
Nothing can stand in our way.,Nada pode ficar em nosso caminho.
I can't stand the thought of losing you forever.,Eu não suporto a ideia de te perder para sempre.
His visits became less frequent as time passed.,Suas visitas tornaram-se menos frequentes conforme o tempo passava.
I'm done with you.,Estou farto de você.
They couldn't find the problem.,Não puderam achar o problema.
We stayed at a cheap hotel.,Ficamos num hotel barato.
What are you learning?,O que vocês estão aprendendo?
Tom said that Mary didn't look like she was busy.,Tom disse que a Mary não parecia estar ocupada.
I must destroy you.,Eu tenho de destruí-lo.
They have known each other since their childhood.,Ele se conhecem desde a infância.
No one can do that as well as Tom can.,Ninguém pode fazer isso tão bem quanto o Tom.
I made dinner.,Fiz o jantar.
"For the time being, we don't need anything.",Nesse momento não nos falta nada.
I'll be happy to go.,Ficarei feliz em ir.
Tom stayed awake.,Tom ficou acordado.
I'm sorry that I have kept you waiting so long.,Desculpe ter feito você esperar tanto.
Tom almost choked.,Tom quase se engasgou.
I received a letter from my sister.,Eu recebi uma carta da minha irmã.
How do you intend to fix this?,Como você pretende consertar isto?
The rain made it impossible for us to go on the picnic.,A chuva fez que o piquenique fosse algo impossível.
Tom is kissing Mary.,Tom está beijando Maria.
I'm getting too old for this job.,Estou ficando velho demais para esse trabalho.
I take a break every three hours.,Faço uma pausa a cada três horas.
Tom lied to you.,Tom mentiu para você.
I'm able to do that by myself.,Sou capaz de fazer isso sozinho.
My father hates the summer heat.,Meu pai odeia o calor do verão.
The sun has already gone down.,O sol já se pôs.
I rested.,Eu descansei.
"There's nothing to do, so I may as well watch television.","Não tem nada pra fazer, então acho que vou assistir televisão."
He's really in good shape.,Ele realmente está em boa forma.
None of us knew what to do.,Nenhum de nós sabia o que fazer.
That cut on your arm looks pretty serious.,Esse corte no seu braço parece ser bem sério.
Take your shoes off.,Tire os teus sapatos.
Christmas decorations are going up.,O preço dos enfeites de Natal está subindo.
It's no use trying to escape.,É inútil tentar escapar.
I know exactly who Tom plans to marry.,Sei exatamente com quem Tom planeja se casar.
Glass is breakable.,O vidro é quebradiço.
How many pens do you have?,Quantas canetas você tem?
How much did we lose?,Quanto nós perdemos?
Did you find your contact lenses?,Você encontrou as suas lentes de contato?
Tom said Mary was driving the car at the time of the accident.,Tom disse que Mary estava dirigindo o carro no momento do acidente.
I'm feeling much better now.,Sinto-me muito melhor agora.
I did that the way I usually do.,Eu fiz isso da maneira que costumo fazer.
I was eating when you called me.,Eu estava comendo quando me chamaste.
The search for alien life is one of humankind's greatest technological challenges.,A busca por vida fora da terra é um dos grandes desafios da tecnologia.
Tom isn't OK.,Tom não está bem.
Where did you get the hat?,Onde conseguiste o chapéu?
Did you have a nice summer?,Você teve um bom verão?
Tom asked Mary how to get to her house.,Tom perguntou à Mary como chegar na casa dela.
Tom said he thought the room was too hot.,Tom disse que pensava que a sala estava muito quente.
Teachers need to be patient with children.,Os professores precisam ser pacientes com as crianças.
I know that the job won't be easy.,Eu sei que o trabalho não será fácil.
Tom is really tall.,O Tom é muito alto.
How's your dad?,Como seu pai está?
The work is now in progress.,O trabalho agora está em andamento.
